Link,Issue description,root cause,symptom,fix
"""https://github.com/ray-project/ray/issues/7853""","""[rllib] ValueError: Reward should be finite scalar, got nan (<class 'float'>)""",special value bug,value error NAN,log_std parameter should be smaller
"""https://github.com/pyvista/pyvista/issues/1010""","""pyvista.add_arrows argument 'mag' producec error when using float""",casting issue datatype,error,pass vectors of float
"""https://github.com/pytorch/pytorch/issues/48576""","""how to avoid the precision loss(float32) caused by the gradient accumulation of Ring Allreduce in the case of ddp""",precision issue,wrong results,fixing the number of rings 
"""https://github.com/pytorch/audio/issues/771""","""ðŸ› Bug: SoxEffectsChain returns wrong result for float32 wav""",datatype issue,wrong results,update method
"""https://github.com/napari/napari/issues/1854""","""Tab completion in QT console causes float divide by zero error""",precision issues,crash,correct parameters
"""https://github.com/jiesutd/NCRFpp/issues/158""","""ZeroDivisionError: float division by zero""",precision issues,crash,use large parameters
"""https://github.com/apache/incubator-mxnet/issues/19472""","""[Bug][2.0] GluonNLP BART model float16 error""",casting datatype issue ,error,use casting correctly
"""https://github.com/ROCmSoftwarePlatform/AMDMIGraphX/issues/210""","""python API faults on float16 example where float32 works""",data type isse,error runtime,add supported data types
"""https://github.com/pytorch/pytorch/issues/48163""","""nn.functional.interpolate backward in fp16 is extremely slow""",datatype issue,performance issue,chage datatype
"""https://github.com/pytorch/fairseq/issues/2907""","""--fp16 utlizes significantly higher memory and results in OOM""",environmental issue,performance issue,change device
"""https://github.com/huggingface/transformers/issues/8559""","""TFGPT2LMHeadModel fp16 support""",data type issue,error runtime,use casting
"""https://github.com/huggingface/transformers/issues/8403""","""[s2s finetune] huge increase in memory demands with --fp16""",data type ,performance issue,use autocast
"""https://github.com/NVIDIA/TensorRT/issues/572""","""fp16 mode takes much more time than fp32""",data type,slow performance,use regular dt instead of strict datatype
"""https://github.com/tensorflow/tensorflow/issues/43845""","""\""No gradients provided\"" with GradientDescentOptimizer if not using float variable""",data type issue,error,fix data type
"""https://github.com/tensorflow/tensorflow/issues/34849""","""TF 2.0 - WARNING - dense_features is casting an input tensor from dtype float64 to the layer's dtype of float32""",data type issue,error,fix data type manually
